parse_date	provider	provider_id	name	price	original_price	hidden_price	URL
2021-10-06 04:02:00	bol	9200000119412119	Philips Sonicare ProtectiveClean 4300 HX6809/35 Duo - Elektrische tandenborstel - Wit	118.99			https://bol.com/nl/nl/p/philips-sonicare-protectiveclean-4300-hx6809-35-duo-elektrische-tandenborstel-wit/9200000119412119/
2021-10-06 04:02:00	bol	9200000087326429	Philips Sonicare 2 series HX6232/20 Special Edition - Elektrische tandenborstel - Zwart	44.99			https://bol.com/nl/nl/p/philips-sonicare-2-series-hx6232-20-special-edition-elektrische-tandenborstel-zwart/9200000087326429/
2021-10-06 04:02:00	bol	9200000031296804	Philips Sonicare EasyClean HX6512/02 - Elektrische tandenborstel - Wit	51.29			https://bol.com/nl/nl/p/philips-sonicare-easyclean-hx6512-02-elektrische-tandenborstel-wit/9200000031296804/
2021-10-06 04:02:00	bol	9200000073431969	BRITA Waterfilterkan Marella XL White - 3,5L	28.95			https://bol.com/nl/nl/p/brita-waterfilterkan-marella-xl-white-3-5l/9200000073431969/
2021-10-06 04:02:00	bol	9300000005081673	Philips Sonicare For Kids HX6352/42 - Elektrische tandenborstel - roze	39.95			https://bol.com/nl/nl/p/philips-sonicare-for-kids-hx6352-42-elektrische-tandenborstel-roze/9300000005081673/
2021-10-06 04:02:00	bol	9300000002084151	Philips Sonicare DiamondClean HX9911/09 - Elektrische tandenborstel	163.99			https://bol.com/nl/nl/p/philips-sonicare-diamondclean-hx9911-09-elektrische-tandenborstel/9300000002084151/
2021-10-06 04:02:00	bol	9200000092605359	Philips Sonicare ProtectiveClean 4300 HX6800/35 - Elektrische tandenborstel - Roze & Zwart	140.0			https://bol.com/nl/nl/p/philips-sonicare-protectiveclean-4300-hx6800-35-elektrische-tandenborstel-roze-zwart/9200000092605359/
2021-10-06 04:02:00	bol	9200000132032639	Philips Sonicare DiamondClean HX9911/27 - Elektrische tandenborstel - Wit	170.99			https://bol.com/nl/nl/p/philips-sonicare-diamondclean-hx9911-27-elektrische-tandenborstel-wit/9200000132032639/
2021-10-06 04:02:00	bol	9300000033062205	Philips Sonicare Prestige 9900 HX9992/11 - Elektrische tandenborstel met SenseIQ	239.0			https://bol.com/nl/nl/p/philips-sonicare-prestige-9900-hx9992-11-elektrische-tandenborstel-met-senseiq/9300000033062205/
2021-10-06 04:02:00	bol	9200000106096151	Philips Sonicare ProtectiveClean 6100 serie HX6870/47 - Elektrische tandenborstel - Zwart	99.0			https://bol.com/nl/nl/p/philips-sonicare-protectiveclean-6100-serie-hx6870-47-elektrische-tandenborstel-zwart/9200000106096151/
